,numberHiddenLayers,inputNeuron,hiddenLayerNeurons,lr,best_training_accuracy,best_validation_accuracy,best_val_auc,best_epoch_auc,test_auc
0,4.0,1400.0,600.0,0.001,0.915594220161438,0.9152798652648926,0.9562464952468872,2.0,0.9476511478424072
1,2.0,1200.0,600.0,0.01,0.9148372411727905,0.9137670397758484,0.9528251886367798,2.0,0.9460439682006836
2,1.0,1600.0,600.0,0.01,0.9127554893493652,0.9152798652648926,0.9576683044433594,1.0,0.9468269348144531
3,1.0,1400.0,800.0,0.1,0.8919379115104675,0.8925870060920715,0.9508988857269287,2.0,0.946217954158783
