,numberHiddenLayers,inputNeuron,hiddenLayerNeurons,lr,best_training_accuracy,best_validation_accuracy,best_val_auc,best_epoch_auc,test_auc
0,1.0,1600.0,800.0,0.1,0.8873959183692932,0.9001513123512268,0.9114349484443665,2.0,0.946825385093689
1,3.0,1200.0,1000.0,0.1,0.8663890957832336,0.9077155590057373,0.9097633361816406,1.0,0.8422340750694275
2,1.0,1600.0,600.0,0.01,0.9157835245132446,0.9092284440994263,0.9381492137908936,1.0,0.9577549695968628
3,4.0,1200.0,1000.0,0.001,0.9152157306671143,0.9137670397758484,0.9444419145584106,1.0,0.9630614519119263
